diameter,dfec
1e-07,21.195572362246768
2e-07,42.391144724493536
3e-07,63.5867170867403
4e-07,84.78228944898707
5e-07,105.97786181123384
6e-07,127.1734341734806
7e-07,148.36900653572738
8e-07,169.56457889797414
9e-07,190.76015126022094
1e-06,211.95572362246767
1.1e-06,233.15129598471444
1.2e-06,254.3468683469612
1.2999999999999998e-06,275.54244070920794
1.3999999999999997e-06,296.7380130714547
1.5e-06,317.9335854337015
1.6e-06,339.1291577959483
1.6999999999999998e-06,360.32473015819505
1.7999999999999997e-06,381.52030252044176
1.9e-06,402.7158748826886
2e-06,423.91144724493535
2.1e-06,445.1070196071821
2.1999999999999997e-06,466.3025919694288
2.3e-06,487.49816433167564
2.4e-06,508.6937366939224
2.4999999999999998e-06,529.8893090561692
2.5999999999999997e-06,551.0848814184159
2.6999999999999996e-06,572.2804537806626
2.8e-06,593.4760261429095
2.8999999999999998e-06,614.6715985051562
2.9999999999999997e-06,635.8558132279551
3.1e-06,656.4408913624873
3.2e-06,675.7204543121229
3.2999999999999997e-06,693.4852055474514
3.3999999999999996e-06,709.6887155072999
3.4999999999999995e-06,724.3590005368933
3.6e-06,737.5617226669455
3.6999999999999997e-06,749.381225899428
3.7999999999999996e-06,759.9099083068428
3.9e-06,769.2420477634485
4e-06,777.4701891160621
4.1e-06,784.6830702121893
4.2e-06,790.9644963566624
4.2999999999999995e-06,796.3928067582998
4.399999999999999e-06,801.040711078227
4.5e-06,804.9753550126874
4.6e-06,808.2585239887998
4.7e-06,810.9469259311328
4.8e-06,813.0925146978475
4.9e-06,814.7428293309378
4.9999999999999996e-06,815.9413332389067
5.0999999999999995e-06,816.7277434095263
5.199999999999999e-06,817.1383437428817
5.299999999999999e-06,817.2062792560106
5.4e-06,816.9618296726502
5.5e-06,816.4326620638944
5.6e-06,815.6440629428911
5.7e-06,814.6191506718075
5.7999999999999995e-06,813.379069302937
5.899999999999999e-06,811.9431651105122
5.999999999999999e-06,810.3291471185875
6.1e-06,808.5532329230412
6.2e-06,806.6302810628142
6.3e-06,804.5739111310668
6.4e-06,802.3966127406453
6.5e-06,800.1098443766055
6.5999999999999995e-06,797.724123085865
6.699999999999999e-06,795.249105873197
6.799999999999999e-06,792.6936635954481
6.899999999999999e-06,790.0659480731247
7e-06,787.3734530708232
7.1e-06,784.6230697356333
7.2e-06,781.821137025504
7.2999999999999996e-06,778.9734876075252
7.3999999999999995e-06,776.0854896588105
7.499999999999999e-06,773.1620849599093
7.599999999999999e-06,770.2078236320436
7.7e-06,767.2268958346637
7.8e-06,764.2231607084491
7.9e-06,761.2001728207125
8e-06,758.1612063448073
8.1e-06,755.1092771823727
8.200000000000001e-06,752.0471632168113
8.3e-06,748.9774228680108
8.400000000000001e-06,745.902412101838
8.5e-06,742.8243000331062
8.6e-06,739.7450832474003
8.7e-06,736.6665989551814
8.8e-06,733.5905370808216
8.900000000000001e-06,730.5184513795475
9e-06,727.4517696665506
9.100000000000001e-06,724.3918032346749
9.2e-06,721.3397555300385
9.3e-06,718.2967301485452
9.4e-06,715.2637382105274
9.5e-06,712.2417051655366
9.6e-06,709.2314770746478
9.7e-06,706.2338264133743
9.800000000000001e-06,703.2494574344884
9.9e-06,700.2790111265606
