energy,photons,n_squared,beta,visibility,detector_efficiency,total_weight,total_weight_no_vis
20.0,15701720.0,6.6074909213e-13,2.15673550355e-10,0.0356778852802,0.999999998206,91779.5552716,2572449.41932
21.0,15262890.0,5.43579709867e-13,1.96918309262e-10,0.00701443580851,0.999999976101,21602.1248716,3079666.77026
22.0,14778990.0,4.51269080203e-13,1.81143226306e-10,0.000231134364772,0.999999795996,821.272806687,3553226.74539
23.0,14262720.0,3.77748407882e-13,1.67682222773e-10,0.000202322067428,0.999998774001,805.021907557,3978913.01623
24.0,13731440.0,3.18608894688e-13,1.56256017917e-10,0.00472701847498,0.999994492367,20562.345564,4349960.90513
25.0,13196910.0,2.7060328778e-13,1.46257183581e-10,0.0187856927624,0.99998025447,87632.743942,4664866.23892
26.0,12669830.0,2.313081412e-13,1.37484144414e-10,0.0440091349102,0.999941261485,216736.015431,4924796.08775
27.0,12152890.0,1.98893873988e-13,1.29745402779e-10,0.0795774715459,0.999848362451,409155.041645,5141593.89205
28.0,11652070.0,1.71963904084e-13,1.22790486959e-10,0.123360449947,0.999653136743,655289.923614,5311993.62434
29.0,11160710.0,1.49441424372e-13,1.16616209014e-10,0.172731126828,0.999290699247,939219.558184,5437465.58847
30.0,10690310.0,1.30488486493e-13,1.10980560753e-10,0.225079079039,0.998669083649,1242711.72526,5521222.7212
31.0,10241240.0,1.14447168497e-13,1.05926362761e-10,0.278093080552,0.997708988292,1547835.32147,5565889.372
32.0,9806569.0,1.00796884179e-13,1.01266668249e-10,0.329885661446,0.996285613803,1838640.72543,5573569.69492
33.0,9394281.0,8.91223919295e-14,9.70371245748e-11,0.379018864444,0.994346308474,2103985.94359,5551137.79541
34.0,9003401.0,7.90902346777e-14,9.31173413813e-11,0.424474291334,0.991762349984,2336348.15294,5504098.12947
35.0,8626690.0,7.04308079267e-14,8.95125555448e-11,0.465596253276,0.988524307597,2528725.68092,5431155.56263
36.0,8264491.0,6.29247321232e-14,8.61651109103e-11,0.502025943162,0.984553184254,2679194.36669,5336764.7692
37.0,7924030.0,5.63924935849e-14,8.30473207439e-11,0.533636914402,0.979832903356,2790480.9842,5229175.32294
38.0,7598274.0,5.06863259543e-14,8.01501980733e-11,0.560477132707,0.974442521339,2862487.97606,5107234.19212
39.0,7287332.0,4.56839895589e-14,7.74278113503e-11,0.582719754623,0.968252046466,2898544.22043,4974165.02089
40.0,6990770.0,4.12838245203e-14,7.48877340522e-11,0.600622975292,0.961422007374,2902390.28335,4832299.79995
41.0,6708911.0,3.74009002445e-14,7.24972250373e-11,0.614498322036,0.953883769373,2878670.37882,4684586.23172
42.0,6440020.0,3.39639438356e-14,7.02408864792e-11,0.624686328366,0.945669343635,2831177.48362,4532158.54911
43.0,6183438.0,3.09128719205e-14,6.81214947905e-11,0.631538389296,0.93720840193,2764763.13058,4377822.75384
44.0,5939238.0,2.81968458027e-14,6.61133084905e-11,0.635403634233,0.928171740209,2682886.49668,4222334.20166
45.0,5705101.0,2.57726669147e-14,6.42108010373e-11,0.636619772368,0.91871816749,2588501.40301,4066008.49575
46.0,5481425.0,2.36034971974e-14,6.24132474392e-11,0.635507016066,0.909263816799,2485989.86506,3911821.27375
47.0,5267937.0,2.16578148468e-14,6.07034462911e-11,0.632364341756,0.89942010117,2377213.36689,3759246.3868
48.0,5063606.0,1.99085495989e-14,5.9075724699e-11,0.627467490294,0.889304525449,2264433.85072,3608846.49125
49.0,4867875.0,1.83323780189e-14,5.75266848774e-11,0.621068233394,0.879493046841,2150738.65488,3462966.77118
50.0,4680795.0,1.69091491575e-14,5.60485391998e-11,0.613394537572,0.869452496078,2036695.37435,3320367.64204
51.0,4501420.0,1.56213946731e-14,5.46367155063e-11,0.604651343076,0.859213597412,1923402.6759,3181011.16937
52.0,4329377.0,1.44539304424e-14,5.32908992163e-11,0.595021744368,0.849414117798,1813241.16212,3047352.77203
53.0,4163933.0,1.3393518989e-14,5.20038969874e-11,0.584668413361,0.839640589305,1705836.76834,2917614.03449
54.0,4006007.0,1.24285953297e-14,5.07712707777e-11,0.573735149262,0.829779399285,1602051.45989,2792318.82856
55.0,3853522.0,1.1549024272e-14,4.95896716008e-11,0.562348471682,0.820068469971,1502032.02062,2670998.67121
56.0,3708358.0,1.07459037208e-14,4.84559362617e-11,0.550619198755,0.810873117337,1407491.20802,2556197.11627
57.0,3566317.0,1.0011397119e-14,4.73675581194e-11,0.538643970815,0.801663063341,1316192.45088,2443529.53378
58.0,7893541.0,9.3385887261e-15,4.63219725899e-11,0.52650669428,0.792451133118,2829197.50256,5373526.17412
59.0,11046560.0,8.72136247491e-15,4.53164528548e-11,0.514279890667,0.783632913562,3842683.77617,7471969.7307
60.0,3174823.0,8.15429784498e-15,4.4348817946e-11,0.502025943162,0.775213981946,1071331.11674,2134015.44548
61.0,3053201.0,7.63258176427e-15,4.34173571294e-11,0.48979823846,0.766831383195,998577.000119,2038751.71797
62.0,2936463.0,7.1519311201e-15,4.25201572315e-11,0.47764220526,0.758491895539,930120.406746,1947316.20553
63.0,2823241.0,6.70852780909e-15,4.16552214676e-11,0.465596253276,0.750541716515,865879.142552,1859721.02752
64.0,2714120.0,6.29896014616e-15,4.0820871571e-11,0.453692618152,0.743028389827,805941.368105,1776403.97013
65.0,2608197.0,5.92017710163e-15,4.00157962141e-11,0.441958118606,0.735574416104,749471.708808,1695798.03438
66.0,2506634.0,5.5694432716e-15,3.92385409795e-11,0.430414832555,0.728182887416,696704.666322,1618681.8242
67.0,4895734.0,5.24430272219e-15,3.84874347912e-11,0.419080699056,0.720961828986,1315851.60789,3139852.56505
68.0,2311897.0,4.94254634867e-15,3.775990418e-11,0.407970052814,0.714372666096,601134.819123,1473477.80793
69.0,2864110.0,4.66218500349e-15,3.70564540034e-11,0.397094097706,0.707849510309,720250.851033,1813803.97038
70.0,2063513.0,4.40142388748e-15,3.6375955209e-11,0.386461325406,0.701393391181,501748.729102,1298315.50046
71.0,1981533.0,4.15864142796e-15,3.57173468102e-11,0.376077884796,0.695005162724,465774.773301,1238506.15027
72.0,1901665.0,3.93236996961e-15,3.50786670686e-11,0.365947907388,0.689010232266,432243.769787,1181162.02077
73.0,1824020.0,3.72128090112e-15,3.44591997317e-11,0.356073793518,0.683351939393,401007.878151,1126193.18088
74.0,1748527.0,3.52416776572e-15,3.38588808827e-11,0.346456463687,0.677757675502,371774.178989,1073076.18115
75.0,1674174.0,3.33993472411e-15,3.32768716498e-11,0.337095578946,0.672227342148,344236.492551,1021183.64657
76.0,1602165.0,3.16758488391e-15,3.27123804458e-11,0.327989733866,0.666760770282,318558.176218,971244.351046
77.0,1530868.0,3.00621033499e-15,3.21638842033e-11,0.319136625259,0.661671278208,294462.695656,922685.371562
78.0,1462082.0,2.85498268213e-15,3.16310107669e-11,0.310533199482,0.656837508425,272142.432259,876371.456299
79.0,1393951.0,2.71314600149e-15,3.11135874755e-11,0.302175780837,0.65206096485,251076.722741,830896.248685
80.0,1328013.0,2.58000910575e-15,3.06109791774e-11,0.29406018332,0.647341101948,231476.910977,787175.293044
81.0,1262406.0,2.45493943709e-15,3.01225843368e-11,0.286181807705,0.642677353454,195538.377304,683266.273534
82.0,1198964.0,2.33735759432e-15,2.96471647765e-11,0.278535725737,0.638221381026,169969.097015,610223.685186
83.0,1135588.0,2.22673165815e-15,2.91836276597e-11,0.271116752982,0.634107653853,156579.070851,577533.734557
84.0,1074203.0,2.12257382515e-15,2.87327604243e-11,0.263919511744,0.630042946854,144047.610186,545801.290832
85.0,1012553.0,2.02443554037e-15,2.82940720368e-11,0.256938485236,0.626026590115,132040.213114,513898.153453
86.0,952920.6,1.93190412415e-15,2.78670959729e-11,0.250168064111,0.622057914967,120832.384684,483004.835622
87.0,892774.0,1.84459953012e-15,2.74513887272e-11,0.243602586293,0.618136254897,110073.464818,451856.716682
88.0,834357.7,1.76217138694e-15,2.70455274113e-11,0.237236370942,0.614519509399,100064.516184,421792.475524
89.0,775120.2,1.68429651535e-15,2.66497498527e-11,0.231063747295,0.611050583009,90437.6215031,391396.844212
90.0,717605.8,1.61067638578e-15,2.62640898333e-11,0.225079079039,0.607622208402,81453.8044225,361889.717917
91.0,658765.6,1.54103506822e-15,2.58881805545e-11,0.21927678477,0.604233744938,72744.4337914,331747.083339
92.0,601696.7,1.47511728596e-15,2.55216723515e-11,0.21365135506,0.600884561503,64638.6907868,302542.85431
93.0,542637.5,1.41268666761e-15,2.51642317177e-11,0.208197366555,0.597574036597,56712.3521649,272397.067759
94.0,485418.9,1.35352414385e-15,2.48147381751e-11,0.202909493515,0.594511515907,49375.2500833,243336.323146
95.0,421757.9,1.29742655255e-15,2.44733606573e-11,0.197782517103,0.591579260278,41760.6900368,211144.496735
96.0,360058.2,1.24420533638e-15,2.41401809017e-11,0.192811332761,0.58868012608,34706.0760649,180000.187582
97.0,298861.0,1.19368531459e-15,2.38149196984e-11,0.187990955898,0.585813559957,28044.6511255,149180.852832
98.0,239531.6,1.14570362825e-15,2.34973100946e-11,0.183316526149,0.582979019632,21883.3619241,119374.736058
99.0,117922.5,1.10010875972e-15,2.31870967387e-11,0.178783310389,0.580175973709,10489.2244386,58670.0426109
100.0,0.0,1.05675969853e-15,2.28837618868e-11,0.174386704684,0.577463999026,0.0,0.0
